,state,gender,customer_lifetime_value,number_of_open_complaints,response,coverage,education,effective_to_date,employmentstatus,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,region_mapped,month,date
1115,California,M,2272.30731,0.0,No,Basic,Master,2011-01-24,Unemployed,0.0,Urban,Single,64,35.0,59,1,Corporate Auto,Corporate L3,Offer3,Agent,286.124652,Four-Door Car,Medsize,0,west_region,January,2011-01-24
1116,Oregon,M,2839.013244,0.0,No,Extended,Bachelor,2011-01-21,Unemployed,0.0,Suburban,Married,81,22.0,26,1,Personal Auto,Personal L2,Offer3,Branch,388.8,Two-Door Car,Large,0,north_west,January,2011-01-21
1117,Washington,M,5029.296953,3.0,No,Basic,Bachelor,2011-01-19,Employed,40113.0,Urban,Divorced,67,2.0,43,5,Corporate Auto,Corporate L2,Offer1,Branch,262.047663,Two-Door Car,Medsize,A,east,January,2011-01-19
1118,California,F,13432.00289,2.0,No,Basic,Bachelor,2011-01-15,Employed,68956.0,Rural,Single,118,12.0,8,2,Personal Auto,Personal L3,Offer3,Call Center,118.538444,SUV,Medsize,A,west_region,January,2011-01-15
1119,California,F,7879.928952,0.0,No,Extended,Doctor,2011-01-10,Employed,45703.0,Suburban,Married,98,17.0,36,9,Personal Auto,Personal L1,Offer4,Agent,470.4,Two-Door Car,Small,A,west_region,January,2011-01-10
1120,Oregon,F,6846.150323,0.0,Yes,Extended,Bachelor,2011-01-27,Unemployed,0.0,Suburban,Divorced,95,13.0,20,5,Personal Auto,Personal L3,Offer1,Call Center,456.0,Two-Door Car,Large,A,north_west,January,2011-01-27
1121,Washington,F,8286.964421,0.0,No,Basic,Bachelor,2011-02-22,Employed,40001.0,Rural,Divorced,70,15.0,7,2,Personal Auto,Personal L3,Offer1,Branch,142.567008,Four-Door Car,Medsize,0,east,February,2011-02-22
1122,Washington,M,12298.6863,0.0,Yes,Basic,High School or Below,2011-02-20,Medical Leave,17101.0,Suburban,Single,113,1.0,88,2,Corporate Auto,Corporate L2,Offer1,Call Center,542.4,SUV,Medsize,0,east,February,2011-02-20
1123,Arizona,F,9275.681452,0.0,No,Premium,Bachelor,2011-02-05,Employed,52494.0,Suburban,Single,119,5.0,69,7,Corporate Auto,Corporate L3,Offer2,Agent,571.2,Two-Door Car,Small,A,central,February,2011-02-05
1124,California,F,5618.485357,0.0,No,Basic,College,2011-01-08,Medical Leave,24518.0,Urban,Married,74,23.0,62,3,Personal Auto,Personal L2,Offer1,Call Center,241.656325,Two-Door Car,Large,0,west_region,January,2011-01-08
1125,California,F,3237.500928,0.0,No,Extended,College,2011-01-29,Disabled,27982.0,Rural,Divorced,87,15.0,74,1,Personal Auto,Personal L3,Offer4,Call Center,14.743099,Two-Door Car,Medsize,0,west_region,January,2011-01-29
1126,Oregon,M,2552.913868,0.0,No,Basic,College,2011-02-06,Employed,33124.0,Rural,Single,67,35.0,7,1,Personal Auto,Personal L1,Offer1,Call Center,80.119997,Four-Door Car,Large,A,north_west,February,2011-02-06
1127,Oregon,M,2404.917967,0.0,No,Basic,Bachelor,2011-02-14,Employed,63455.0,Urban,Divorced,61,26.0,71,1,Personal Auto,Personal L3,Offer1,Branch,287.654819,0,0,A,north_west,February,2011-02-14
1128,Arizona,F,10208.92761,0.0,Yes,Extended,College,2011-02-14,Employed,35482.0,Suburban,Married,129,21.0,59,3,Personal Auto,Personal L2,Offer1,Branch,619.2,SUV,Medsize,0,central,February,2011-02-14
1129,California,F,2518.743544,0.0,No,Basic,Doctor,2011-02-10,Employed,39317.0,Rural,Single,64,22.0,46,1,Personal Auto,Personal L2,Offer2,Branch,77.695607,Four-Door Car,Medsize,A,west_region,February,2011-02-10
1130,Nevada,M,7573.345057,0.0,No,Premium,High School or Below,2011-02-20,Unemployed,0.0,Suburban,Single,110,6.0,37,6,Corporate Auto,Corporate L3,Offer1,Agent,1193.036154,0,0,A,central,February,2011-02-20
1131,0,M,7398.873941,0.0,0,Basic,Bachelor,2011-02-02,Employed,27383.0,Suburban,Married,188,33.0,25,1,Corporate Auto,Corporate L2,Offer4,Branch,902.4,Luxury Car,Medsize,0,0,February,2011-02-02
1132,Oregon,F,5595.389905,0.0,Yes,Basic,High School or Below,2011-02-05,Employed,74454.0,Suburban,Single,71,25.0,29,3,Personal Auto,Personal L2,Offer2,Call Center,340.8,Four-Door Car,Medsize,0,north_west,February,2011-02-05
1133,0,F,6678.899026,0.0,0,Extended,Bachelor,2011-01-12,Employed,47137.0,Rural,Married,84,5.0,11,5,Personal Auto,Personal L1,Offer4,Agent,161.640052,Four-Door Car,Medsize,0,0,January,2011-01-12
1134,0,F,21034.01815,0.0,0,Basic,High School or Below,2011-02-23,Employed,26876.0,Urban,Married,66,12.0,53,2,Personal Auto,Personal L2,Offer4,Call Center,219.209762,Four-Door Car,Medsize,A,0,February,2011-02-23
1135,Arizona,M,7282.967586,0.0,No,Basic,High School or Below,2011-01-31,Employed,40858.0,Suburban,Married,184,10.0,62,1,Personal Auto,Personal L3,Offer3,Agent,883.2,0,0,0,central,January,2011-01-31
1136,California,F,5048.226244,0.0,No,Basic,High School or Below,2011-02-11,Employed,29401.0,Suburban,Single,65,30.0,56,4,Personal Auto,Personal L3,Offer1,Branch,312.0,Four-Door Car,Small,A,west_region,February,2011-02-11
1137,Oregon,F,9830.337629,0.0,No,Premium,College,2011-02-10,Employed,25965.0,Suburban,Divorced,253,15.0,59,1,Personal Auto,Personal L1,Offer2,Agent,1214.4,Luxury SUV,Medsize,0,north_west,February,2011-02-10
1138,Nevada,F,10883.78785,3.0,No,Extended,High School or Below,2011-01-25,Employed,91123.0,Rural,Divorced,138,32.0,70,8,Corporate Auto,Corporate L1,Offer1,Agent,103.462381,SUV,Medsize,A,central,January,2011-01-25
1139,Arizona,M,2792.009458,1.0,No,Extended,College,2011-02-26,Employed,22426.0,Suburban,Single,76,9.0,31,1,Corporate Auto,Corporate L3,Offer3,Branch,528.391284,Four-Door Car,Medsize,A,central,February,2011-02-26
1140,California,F,73225.95652,0.0,No,Extended,Bachelor,2011-02-09,Employed,39547.0,Suburban,Married,202,11.0,21,2,Personal Auto,Personal L3,Offer1,Branch,969.6,Luxury SUV,Medsize,0,west_region,February,2011-02-09
1141,Arizona,F,11160.07706,0.0,No,Extended,Bachelor,2011-01-15,Employed,33232.0,Urban,Married,94,21.0,81,2,Special Auto,Special L2,Offer3,Branch,435.527845,Four-Door Car,Medsize,A,central,January,2011-01-15
1142,California,M,15014.0927,0.0,No,Premium,College,2011-01-19,Employed,32961.0,Suburban,Married,190,13.0,53,3,Corporate Auto,Corporate L2,Offer1,Branch,912.0,SUV,Small,A,west_region,January,2011-01-19
1143,Oregon,M,6978.719808,0.0,No,Extended,High School or Below,2011-02-10,Employed,53808.0,Rural,Married,88,26.0,91,7,Personal Auto,Personal L2,Offer4,Branch,189.835063,Four-Door Car,Medsize,A,north_west,February,2011-02-10
1144,California,F,6273.911874,0.0,Yes,Extended,College,2011-02-16,Retired,18577.0,Suburban,Divorced,86,21.0,76,6,Personal Auto,Personal L2,Offer1,Branch,412.8,Four-Door Car,Medsize,A,west_region,February,2011-02-16
1145,Oregon,M,7481.825592,0.0,No,Extended,College,2011-01-24,Employed,61783.0,Suburban,Married,94,17.0,20,6,Personal Auto,Personal L2,Offer2,Branch,658.125874,Four-Door Car,Small,A,north_west,January,2011-01-24
1146,Oregon,F,5394.913017,0.0,No,Basic,Bachelor,2011-02-07,Employed,29853.0,Rural,Single,69,8.0,36,6,Personal Auto,Personal L2,Offer1,Agent,76.586018,Four-Door Car,Medsize,A,north_west,February,2011-02-07
1147,California,F,2722.210707,0.0,Yes,Basic,College,2011-02-02,Medical Leave,17576.0,Suburban,Married,71,29.0,70,1,Corporate Auto,Corporate L3,Offer2,Call Center,398.502948,Four-Door Car,Medsize,A,west_region,February,2011-02-02
1148,Oregon,F,23984.62144,0.0,No,Premium,Doctor,2011-01-01,Employed,79655.0,Rural,Married,296,12.0,17,9,Personal Auto,Personal L3,Offer2,Branch,498.159874,Luxury Car,Medsize,A,north_west,January,2011-01-01
1149,Oregon,M,2451.535793,3.0,No,Basic,Bachelor,2011-02-22,Employed,48791.0,Rural,Married,62,27.0,0,1,Personal Auto,Personal L2,Offer3,Call Center,69.794432,Two-Door Car,Medsize,A,north_west,February,2011-02-22
1150,California,M,4971.727892,2.0,No,Basic,Master,2011-02-26,Employed,49161.0,Urban,Married,63,16.0,41,3,Personal Auto,Personal L2,Offer3,Branch,171.746945,Two-Door Car,Medsize,A,west_region,February,2011-02-26
1151,California,F,7455.361568,2.0,No,Extended,High School or Below,2011-01-16,Employed,74089.0,Suburban,Married,94,13.0,89,7,Personal Auto,Personal L2,Offer3,Agent,648.690215,0,0,0,west_region,January,2011-01-16
1152,Arizona,M,7329.777554,0.0,No,Premium,College,2011-01-06,Employed,59630.0,Suburban,Married,185,9.0,67,1,Personal Auto,Personal L3,Offer1,Agent,888.0,SUV,Medsize,A,central,January,2011-01-06
1153,Arizona,M,22103.5072,0.0,Yes,Basic,College,2011-01-30,Unemployed,0.0,Suburban,Married,102,35.0,48,2,Personal Auto,Personal L2,Offer1,Branch,489.6,SUV,Medsize,0,central,January,2011-01-30
1154,Nevada,F,8560.162384,0.0,No,Basic,High School or Below,2011-01-16,Retired,28120.0,Suburban,Married,112,7.0,52,3,Personal Auto,Personal L3,Offer1,Web,537.6,SUV,Medsize,A,central,January,2011-01-16
1155,California,M,3885.456401,0.0,Yes,Premium,College,2011-02-28,Unemployed,0.0,Suburban,Married,105,3.0,92,1,Personal Auto,Personal L3,Offer1,Branch,504.0,Four-Door Car,Large,0,west_region,February,2011-02-28
1156,0,F,4379.770178,0.0,0,Premium,College,2011-02-22,Employed,47747.0,Rural,Divorced,111,31.0,76,1,Personal Auto,Personal L3,Offer3,Web,165.588524,Two-Door Car,Medsize,A,0,February,2011-02-22
1157,Arizona,M,17029.89338,0.0,No,Extended,Master,2011-02-09,Employed,54613.0,Urban,Divorced,213,29.0,62,5,Personal Auto,Personal L3,Offer1,Call Center,731.559007,Luxury SUV,Medsize,0,central,February,2011-02-09
1158,Washington,M,20725.37773,0.0,No,Premium,Bachelor,2011-02-02,Disabled,15529.0,Suburban,Married,273,1.0,64,9,Personal Auto,Personal L3,Offer3,Branch,1965.6,Luxury SUV,Small,A,east,February,2011-02-02
1159,Oregon,F,2776.317884,0.0,No,Extended,Bachelor,2011-02-05,Unemployed,0.0,Suburban,Single,79,28.0,94,1,Personal Auto,Personal L2,Offer1,Branch,509.028102,0,0,A,north_west,February,2011-02-05
1160,California,F,2682.704812,0.0,No,Basic,High School or Below,2011-02-28,Employed,63471.0,Suburban,Married,67,0.0,71,1,Personal Auto,Personal L1,Offer2,Agent,387.71779,Two-Door Car,Large,0,west_region,February,2011-02-28
1161,California,F,2907.898828,0.0,No,Basic,College,2011-02-17,Employed,51020.0,Suburban,Divorced,73,16.0,88,1,Personal Auto,Personal L3,Offer2,Branch,350.4,0,0,A,west_region,February,2011-02-17
1162,Oregon,F,11473.48149,0.0,No,Extended,High School or Below,2011-01-12,Employed,66538.0,Urban,Married,95,14.0,64,2,Personal Auto,Personal L3,Offer2,Agent,317.844812,Two-Door Car,Medsize,A,north_west,January,2011-01-12
1163,Arizona,M,58207.12842,0.0,No,Extended,High School or Below,2011-01-13,Disabled,29295.0,Suburban,Married,219,25.0,50,2,Personal Auto,Personal L3,Offer1,Agent,1328.839129,0,0,0,central,January,2011-01-13
1164,California,M,26576.31541,0.0,No,Premium,Bachelor,2011-02-02,Employed,87002.0,Rural,Married,110,27.0,30,2,Personal Auto,Personal L2,Offer1,Call Center,199.851173,Two-Door Car,Medsize,A,west_region,February,2011-02-02
1165,California,F,11633.57855,0.0,No,Extended,Bachelor,2011-02-21,Employed,39669.0,Suburban,Married,98,13.0,63,2,Personal Auto,Personal L3,Offer2,Agent,492.935479,Two-Door Car,Small,0,west_region,February,2011-02-21
1166,Washington,F,2365.348601,2.0,No,Basic,Bachelor,2011-01-13,Unemployed,0.0,Rural,Married,66,25.0,51,1,Special Auto,Special L2,Offer2,Branch,159.636956,Four-Door Car,Medsize,0,east,January,2011-01-13
1167,California,F,4170.687348,1.0,Yes,Basic,Master,2011-01-17,Employed,29462.0,Suburban,Single,107,28.0,23,1,Personal Auto,Personal L2,Offer2,Branch,513.6,SUV,Large,0,west_region,January,2011-01-17
1168,0,F,5200.076742,0.0,0,Extended,Bachelor,2011-02-19,Employed,90167.0,Urban,Single,131,31.0,42,1,Corporate Auto,Corporate L2,Offer1,Web,523.733793,SUV,Medsize,A,0,February,2011-02-19
1169,Arizona,F,2254.931708,0.0,No,Basic,Bachelor,2011-01-31,Unemployed,0.0,Suburban,Single,65,0.0,51,1,Corporate Auto,Corporate L3,Offer3,Agent,312.0,Four-Door Car,Large,0,central,January,2011-01-31
1170,Oregon,M,13024.13012,0.0,Yes,Extended,Master,2011-01-31,Unemployed,0.0,Suburban,Single,125,6.0,61,2,Personal Auto,Personal L3,Offer1,Agent,900.0,SUV,Small,A,north_west,January,2011-01-31
1171,Oregon,F,2959.819985,0.0,No,Basic,Bachelor,2011-02-27,Employed,69746.0,Urban,Divorced,74,15.0,91,1,Personal Auto,Personal L1,Offer1,Call Center,225.032781,Four-Door Car,Medsize,0,north_west,February,2011-02-27
1172,California,F,5243.538258,0.0,No,Basic,Master,2011-01-30,Employed,44851.0,Suburban,Divorced,66,15.0,51,3,Corporate Auto,Corporate L2,Offer3,Web,439.762045,0,0,A,west_region,January,2011-01-30
1173,California,M,8082.880956,0.0,No,Basic,College,2011-01-21,Employed,53554.0,Suburban,Married,67,6.0,5,2,Personal Auto,Personal L2,Offer1,Agent,327.020539,Four-Door Car,Large,0,west_region,January,2011-01-21
1174,Oregon,F,4541.26342,2.0,No,Basic,High School or Below,2011-01-05,Unemployed,0.0,Suburban,Divorced,65,15.0,85,4,Special Auto,Special L3,Offer1,Agent,312.0,Four-Door Car,Medsize,A,north_west,January,2011-01-05
1175,0,F,5123.484988,0.0,0,Basic,Bachelor,2011-01-19,Employed,72096.0,Urban,Married,64,24.0,92,5,Personal Auto,Personal L3,Offer1,Agent,252.330905,Two-Door Car,Medsize,0,0,January,2011-01-19
1176,Arizona,F,9234.277026,0.0,No,Extended,College,2011-02-24,Unemployed,0.0,Suburban,Single,134,29.0,43,6,Corporate Auto,Corporate L3,Offer1,Branch,643.2,SUV,Medsize,A,central,February,2011-02-24
1177,Arizona,F,13770.97618,0.0,Yes,Premium,High School or Below,2011-02-01,Employed,59207.0,Suburban,Single,116,23.0,21,2,Personal Auto,Personal L1,Offer1,Agent,556.8,Four-Door Car,Medsize,0,central,February,2011-02-01
1178,California,M,39561.07502,0.0,No,Basic,College,2011-01-02,Employed,60500.0,Suburban,Married,110,27.0,92,2,Personal Auto,Personal L1,Offer3,Branch,770.475631,Sports Car,Small,0,west_region,January,2011-01-02
1179,California,F,8613.464627,0.0,No,Premium,Master,2011-01-24,Employed,26680.0,Suburban,Married,106,11.0,49,5,Personal Auto,Personal L2,Offer1,Agent,508.8,Two-Door Car,Small,A,west_region,January,2011-01-24
1180,Arizona,M,5453.861203,0.0,No,Basic,College,2011-01-04,Employed,30855.0,Urban,Married,68,7.0,15,7,Corporate Auto,Corporate L3,Offer2,Web,259.060862,Four-Door Car,Medsize,0,central,January,2011-01-04
1181,California,F,8845.073706,0.0,No,Basic,High School or Below,2011-01-14,Employed,95850.0,Urban,Married,109,3.0,16,3,Corporate Auto,Corporate L1,Offer1,Agent,328.502498,Sports Car,Medsize,0,west_region,January,2011-01-14
1182,Washington,F,8021.067105,0.0,No,Basic,College,2011-02-16,Employed,54292.0,Suburban,Married,67,4.0,26,2,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Small,0,east,February,2011-02-16
1183,Oregon,F,2454.589361,0.0,No,Basic,Bachelor,2011-02-07,Unemployed,0.0,Suburban,Single,72,25.0,4,1,Personal Auto,Personal L3,Offer2,Branch,518.4,Two-Door Car,Medsize,0,north_west,February,2011-02-07
1184,Arizona,F,9247.464417,0.0,No,Extended,High School or Below,2011-01-02,Employed,97030.0,Suburban,Married,76,14.0,24,2,Corporate Auto,Corporate L3,Offer3,Call Center,416.637499,Four-Door Car,Small,0,central,January,2011-01-02
1185,California,M,13110.54899,0.0,No,Basic,High School or Below,2011-01-19,Employed,73597.0,Urban,Married,114,15.0,8,2,Personal Auto,Personal L2,Offer4,Agent,485.183645,0,0,0,west_region,January,2011-01-19
1186,Oregon,F,10979.09559,0.0,No,Extended,Bachelor,2011-02-14,Employed,94827.0,Urban,Married,135,5.0,64,4,Personal Auto,Personal L3,Offer1,Agent,354.729129,SUV,Medsize,A,north_west,February,2011-02-14
1187,0,F,10388.55323,0.0,0,Extended,Bachelor,2011-01-11,Employed,61222.0,Urban,Single,89,20.0,55,2,Special Auto,Special L3,Offer3,Branch,392.604371,Four-Door Car,Small,A,0,January,2011-01-11
1188,Oregon,F,14962.37103,0.0,No,Extended,High School or Below,2011-02-12,Unemployed,0.0,Suburban,Married,82,9.0,58,2,Personal Auto,Personal L1,Offer4,Agent,393.6,Four-Door Car,Medsize,A,north_west,February,2011-02-12
1189,Oregon,F,9752.698201,0.0,No,Extended,College,2011-01-17,Employed,37345.0,Rural,Married,82,27.0,12,2,Personal Auto,Personal L3,Offer4,Agent,31.652079,Four-Door Car,Medsize,A,north_west,January,2011-01-17
1190,California,F,5505.167392,1.0,No,Basic,College,2011-02-02,Retired,15648.0,Suburban,Married,73,29.0,68,5,Special Auto,Special L3,Offer2,Agent,413.269261,Two-Door Car,Medsize,A,west_region,February,2011-02-02
1191,Nevada,F,14741.76092,1.0,No,Extended,Bachelor,2011-01-25,Unemployed,0.0,Suburban,Married,139,2.0,33,2,Personal Auto,Personal L3,Offer3,Call Center,667.2,SUV,Medsize,A,central,January,2011-01-25
1192,Arizona,M,2258.793954,0.0,No,Basic,High School or Below,2011-01-02,Unemployed,0.0,Suburban,Single,65,8.0,47,1,Personal Auto,Personal L3,Offer3,Agent,625.483498,Four-Door Car,Medsize,A,central,January,2011-01-02
1193,Oregon,M,2795.321353,0.0,No,Basic,College,2011-01-20,Unemployed,0.0,Suburban,Married,74,6.0,61,1,Personal Auto,Personal L3,Offer1,Call Center,420.765993,Two-Door Car,Medsize,0,north_west,January,2011-01-20
1194,Oregon,F,8692.282356,0.0,No,Premium,College,2011-01-22,Employed,31986.0,Suburban,Divorced,111,13.0,83,6,Personal Auto,Personal L2,Offer1,Branch,532.8,Four-Door Car,Small,0,north_west,January,2011-01-22
1195,California,F,4171.300175,1.0,No,Basic,Bachelor,2011-01-17,Employed,36723.0,Suburban,Married,106,13.0,18,1,Personal Auto,Personal L3,Offer2,Agent,580.091966,SUV,Medsize,0,west_region,January,2011-01-17
1196,Oregon,F,8256.2978,0.0,Yes,Basic,Bachelor,2011-01-25,Employed,62902.0,Rural,Married,69,14.0,94,2,Personal Auto,Personal L3,Offer2,Web,159.383042,Two-Door Car,Medsize,0,north_west,January,2011-01-25
1197,0,F,10083.48688,0.0,0,Extended,High School or Below,2011-02-19,Retired,11828.0,Suburban,Divorced,90,18.0,84,2,Corporate Auto,Corporate L1,Offer1,Agent,571.479602,Four-Door Car,Large,A,0,February,2011-02-19
1198,Washington,F,13759.14695,0.0,No,Extended,Bachelor,2011-01-17,Retired,16794.0,Suburban,Single,96,7.0,31,2,Personal Auto,Personal L3,Offer1,Branch,460.8,Four-Door Car,Medsize,A,east,January,2011-01-17
1199,California,M,7292.397562,0.0,No,Basic,High School or Below,2011-02-09,Unemployed,0.0,Suburban,Married,68,6.0,50,2,Personal Auto,Personal L3,Offer1,Branch,415.986454,Two-Door Car,Medsize,0,west_region,February,2011-02-09
1200,California,M,6310.400194,1.0,No,Extended,High School or Below,2011-01-31,Employed,79880.0,Suburban,Married,79,22.0,68,7,Personal Auto,Personal L3,Offer2,Branch,568.8,Two-Door Car,Medsize,A,west_region,January,2011-01-31
1201,California,F,2478.235474,0.0,No,Basic,College,2011-02-04,Employed,24186.0,Suburban,Single,64,8.0,11,1,Personal Auto,Personal L2,Offer2,Agent,307.2,Four-Door Car,Medsize,0,west_region,February,2011-02-04
1202,Nevada,F,4423.690041,0.0,No,Extended,High School or Below,2011-02-11,Unemployed,0.0,Suburban,Single,125,8.0,55,1,Personal Auto,Personal L2,Offer3,Agent,900.0,0,0,0,central,February,2011-02-11
1203,0,F,5557.934118,0.0,0,Basic,High School or Below,2011-01-30,Employed,83576.0,Suburban,Married,69,35.0,72,5,Personal Auto,Personal L3,Offer3,Web,331.2,Two-Door Car,Medsize,A,0,January,2011-01-30
1204,California,M,8658.863813,0.0,Yes,Basic,College,2011-02-07,Employed,62464.0,Urban,Married,109,15.0,45,4,Corporate Auto,Corporate L1,Offer2,Agent,400.181882,Sports Car,Medsize,A,west_region,February,2011-02-07
1205,California,M,2615.911934,0.0,No,Basic,Master,2011-02-03,Unemployed,0.0,Suburban,Married,71,15.0,45,1,Personal Auto,Personal L1,Offer2,Agent,340.8,Two-Door Car,Medsize,0,west_region,February,2011-02-03
1206,Nevada,F,5439.3601,0.0,No,Basic,High School or Below,2011-02-08,Employed,69186.0,Urban,Single,69,24.0,16,3,Personal Auto,Personal L3,Offer2,Agent,192.591072,Four-Door Car,Small,A,central,February,2011-02-08
1207,California,M,10737.68425,0.0,No,Extended,High School or Below,2011-02-23,Employed,50607.0,Suburban,Single,137,15.0,0,9,Personal Auto,Personal L2,Offer2,Agent,657.6,SUV,Large,0,west_region,February,2011-02-23
1208,Oregon,M,14318.44839,1.0,No,Basic,Bachelor,2011-02-23,Employed,22697.0,Suburban,Divorced,186,35.0,39,8,Corporate Auto,Corporate L3,Offer1,Web,892.8,Luxury SUV,Medsize,A,north_west,February,2011-02-23
1209,California,F,4743.694528,0.0,No,Basic,Bachelor,2011-02-10,Employed,83413.0,Rural,Married,118,0.0,1,1,Personal Auto,Personal L3,Offer2,Web,134.801691,SUV,Medsize,0,west_region,February,2011-02-10
1210,0,F,4929.8075,0.0,0,Basic,High School or Below,2011-01-27,Unemployed,0.0,Suburban,Single,70,25.0,21,6,Personal Auto,Personal L3,Offer4,Call Center,837.438442,0,0,0,0,January,2011-01-27
1211,Arizona,M,7196.721128,0.0,No,Basic,High School or Below,2011-01-08,Unemployed,0.0,Suburban,Single,107,22.0,96,4,Personal Auto,Personal L2,Offer4,Web,770.4,SUV,Medsize,0,central,January,2011-01-08
1212,Nevada,M,5448.555219,0.0,No,Basic,Bachelor,2011-01-07,Employed,85296.0,Suburban,Married,68,15.0,47,6,Personal Auto,Personal L3,Offer3,Web,342.515136,Four-Door Car,Medsize,0,central,January,2011-01-07
1213,California,F,2907.43603,1.0,No,Basic,High School or Below,2011-01-30,Employed,52216.0,Suburban,Married,72,8.0,55,1,Personal Auto,Personal L2,Offer1,Web,362.026936,Four-Door Car,Medsize,0,west_region,January,2011-01-30
1214,California,M,30118.6554,0.0,No,Premium,High School or Below,2011-01-09,Employed,68906.0,Suburban,Married,187,15.0,61,2,Personal Auto,Personal L3,Offer3,Web,1053.300143,Sports Car,Medsize,A,west_region,January,2011-01-09
1215,0,M,2224.768,0.0,0,Basic,College,2011-01-22,Unemployed,0.0,Suburban,Single,68,3.0,4,1,Personal Auto,Personal L3,Offer2,Web,326.4,Four-Door Car,Medsize,0,0,January,2011-01-22
1216,Oregon,F,3055.70113,0.0,No,Extended,High School or Below,2011-01-19,Employed,42406.0,Rural,Married,77,15.0,49,1,Corporate Auto,Corporate L3,Offer4,Call Center,108.871857,Four-Door Car,Medsize,A,north_west,January,2011-01-19
1217,Oregon,F,5365.54161,1.0,No,Basic,Bachelor,2011-02-04,Employed,77095.0,Suburban,Divorced,68,22.0,59,4,Personal Auto,Personal L2,Offer3,Agent,461.841879,Four-Door Car,Small,A,north_west,February,2011-02-04
1218,Oregon,F,8287.679305,0.0,No,Basic,Bachelor,2011-02-26,Employed,81367.0,Urban,Married,103,2.0,32,4,Special Auto,Special L2,Offer3,Branch,415.768941,SUV,Medsize,A,north_west,February,2011-02-26
1219,Nevada,M,5953.352957,0.0,No,Extended,Bachelor,2011-01-05,Employed,20283.0,Suburban,Divorced,77,7.0,17,3,Personal Auto,Personal L1,Offer2,Branch,369.6,Two-Door Car,Medsize,A,central,January,2011-01-05
1220,Oregon,F,6964.051797,1.0,No,Extended,College,2011-02-19,Unemployed,0.0,Suburban,Married,95,19.0,41,9,Corporate Auto,Corporate L2,Offer1,Web,629.647822,Four-Door Car,Medsize,A,north_west,February,2011-02-19
1221,California,F,11302.60169,0.0,No,Extended,Doctor,2011-01-10,Employed,22361.0,Suburban,Married,95,15.0,42,2,Personal Auto,Personal L3,Offer4,Agent,530.667993,Four-Door Car,Small,A,west_region,January,2011-01-10
1222,California,M,7647.451823,0.0,No,Basic,High School or Below,2011-02-12,Employed,91512.0,Suburban,Married,189,6.0,86,1,Personal Auto,Personal L3,Offer3,Branch,907.2,Luxury Car,Medsize,A,west_region,February,2011-02-12
1223,Arizona,F,9209.41167,0.0,No,Basic,High School or Below,2011-02-27,Employed,31365.0,Suburban,Married,115,1.0,12,7,Special Auto,Special L2,Offer1,Call Center,828.0,SUV,Medsize,A,central,February,2011-02-27
1224,California,M,2611.836866,0.0,No,Extended,College,2011-02-14,Unemployed,0.0,Suburban,Single,77,3.0,90,1,Corporate Auto,Corporate L3,Offer4,Call Center,369.6,Two-Door Car,Medsize,0,west_region,February,2011-02-14
1225,Nevada,F,5158.648497,0.0,No,Basic,High School or Below,2011-02-04,Unemployed,0.0,Suburban,Single,74,24.0,98,5,Personal Auto,Personal L1,Offer2,Agent,588.936956,Two-Door Car,Medsize,0,central,February,2011-02-04
1226,Oregon,F,9551.167226,0.0,No,Basic,High School or Below,2011-01-18,Employed,57016.0,Urban,Married,119,31.0,86,3,Personal Auto,Personal L2,Offer2,Agent,341.868399,SUV,Medsize,0,north_west,January,2011-01-18
1227,0,F,2980.010499,1.0,0,Extended,College,2011-02-09,Medical Leave,13535.0,Suburban,Married,80,7.0,53,1,Personal Auto,Personal L3,Offer2,Agent,384.0,Four-Door Car,Small,0,0,February,2011-02-09
1228,California,M,19872.262,0.0,No,Premium,High School or Below,2011-01-31,Unemployed,0.0,Suburban,Single,185,26.0,35,2,Personal Auto,Personal L3,Offer1,Agent,1950.725547,0,0,0,west_region,January,2011-01-31
1229,Oregon,F,2452.059049,0.0,No,Basic,College,2011-02-05,Employed,30216.0,Suburban,Divorced,63,18.0,74,1,Corporate Auto,Corporate L3,Offer2,Call Center,302.4,Four-Door Car,Medsize,A,north_west,February,2011-02-05
1230,Oregon,F,37939.48817,0.0,No,Basic,High School or Below,2011-01-31,Employed,20587.0,Urban,Married,106,14.0,21,2,Personal Auto,Personal L3,Offer3,Agent,363.77598,SUV,Small,0,north_west,January,2011-01-31
1231,Oregon,M,5568.947534,1.0,Yes,Extended,High School or Below,2011-01-01,Unemployed,0.0,Suburban,Single,79,21.0,53,7,Personal Auto,Personal L2,Offer1,Agent,407.440238,Two-Door Car,Medsize,0,north_west,January,2011-01-01
1232,Nevada,M,4369.71794,0.0,No,Premium,Master,2011-01-11,Employed,88495.0,Suburban,Married,108,15.0,83,1,Personal Auto,Personal L3,Offer1,Branch,535.926948,Two-Door Car,Medsize,A,central,January,2011-01-11
1233,California,M,8996.774075,0.0,No,Basic,High School or Below,2011-02-13,Employed,49706.0,Suburban,Married,113,13.0,95,3,Personal Auto,Personal L3,Offer2,Call Center,617.515196,SUV,Medsize,0,west_region,February,2011-02-13
